tweet_type,userid,screen_name,date,hashtag,qtd_hashtag,rt_hashtag
original,1196655068633632768,ProvingFuture,Sat Aug 01 04:44:21 +0000 2020,qanon humanbehaviour thegreatawakening,"",""
original,990276388144996352,DavidaCamorani,Sat Aug 01 04:45:10 +0000 2020,qanon wwg1wgaworldwide,"",""
quoted_tweet,19535935,LOSTMom815,Sat Aug 01 04:45:18 +0000 2020,osha fauci qanons wearethenewsnow thegreatawakening,researchforyourselves themoreyouknow truthisinplainsight,""
retweeted_tweet_without_comment,711151994,CVivani,Sat Aug 01 04:45:51 +0000 2020,qanon wwg1wgaworldwide,"",qanon wwg1wgaworldwide
quoted_tweet,579489710,rightonQ17,Sat Aug 01 04:46:02 +0000 2020,qanon wwg1wga,hcqw0rks,""
quoted_tweet,1351283654,antiamnesty,Sat Aug 01 04:50:00 +0000 2020,somuchdoh qanon chyna,"",""
reply,107924813,Sanderstwits,Sat Aug 01 04:50:56 +0000 2020,wwgiwga wwg1wgaworldwide qanon,"",""
reply,107924813,Sanderstwits,Sat Aug 01 04:53:26 +0000 2020,usa wwgiwga qanon blm,"",""
retweeted_tweet_without_comment,1008176372622110720,tooranomaki6910,Sat Aug 01 04:53:41 +0000 2020,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,"",trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3
reply,2847872826,ForcedAdoption1,Sat Aug 01 04:53:53 +0000 2020,wwg1wgaworldwide qanonworldwide saveourchildren childlivesmatter childtraffickingexposed pedogateisreal,"",""
original,28623510,proadstudio,Sat Aug 01 04:54:25 +0000 2020,gop tiktok qanon youthvote parler china,"",""
quoted_tweet,1252979184583892992,TonarinoC,Sat Aug 01 04:55:15 +0000 2020,qanon,trump2020landslide maga trump trump2020 americafirst kag magamemes,""
original,1196655068633632768,ProvingFuture,Sat Aug 01 04:55:36 +0000 2020,qanon humanbehaviour thegreatawakening,"",""
retweeted_tweet_without_comment,25906859,therealmobstar,Sat Aug 01 04:56:51 +0000 2020,qanons,"",qanons qanonsworldwide
retweeted_tweet_without_comment,1270568889315930112,Michelle4God,Sat Aug 01 04:57:18 +0000 2020,qanon wwg1wgaworldwide,"",qanon wwg1wgaworldwide
reply,1080221077274451968,micropush,Sat Aug 01 04:57:45 +0000 2020,qanons maga covidiots covid19,"",""
retweeted_tweet_without_comment,25906859,therealmobstar,Sat Aug 01 04:58:07 +0000 2020,qanons,"",qanons
reply,107924813,Sanderstwits,Sat Aug 01 04:58:13 +0000 2020,maga qanon wwgiwga trump,"",""
quoted_tweet,242056447,dmfact,Sat Aug 01 03:01:13 +0000 2020,qanon,qanon,""
quoted_tweet,1207435100947963904,Smokeymtnwoman1,Sat Aug 01 03:01:25 +0000 2020,trump2020landslidevictory themoreyouknow qanons donaldjtrump backtheblue,defundthepolice cpaclive,""
retweeted_tweet_without_comment,1055668671580794880,Johnkim05416420,Sat Aug 01 03:01:51 +0000 2020,draintheswamp qanon,"",draintheswamp qanon
retweeted_tweet_without_comment,1055668671580794880,Johnkim05416420,Sat Aug 01 03:01:57 +0000 2020,draintheswamp qanon,"",draintheswamp qanon
retweeted_tweet_without_comment,137715875,marcanoserrano,Sat Aug 01 03:03:03 +0000 2020,ww1wga qanons,"",ww1wga qanons
reply,1256481792887930880,REUEL1111,Sat Aug 01 03:03:04 +0000 2020,qanons,"",""
reply,1282187446101237760,NoreenElliott19,Sat Aug 01 03:03:13 +0000 2020,qanonlosers,"",""
reply,1256481792887930880,REUEL1111,Sat Aug 01 03:03:34 +0000 2020,qanons,"",""
reply,1256481792887930880,REUEL1111,Sat Aug 01 03:04:41 +0000 2020,qanons,"",""
reply,1258574840463794176,DaveQuest17,Sat Aug 01 03:05:27 +0000 2020,qanon wwg1wga,"",""
original,932399982296031232,Omerta_15,Sat Aug 01 03:06:13 +0000 2020,q qanon wwg1wga pan peterpan,"",""
reply,26996490,pgh_futbol,Sat Aug 01 03:06:53 +0000 2020,qanonbull,"",""
quoted_tweet,1255598524651180032,CovfefeSenor,Sat Aug 01 03:08:29 +0000 2020,trumpvirus trump trumpisanationaldisgrace maga qanon wwg1gwa,"",""
original,1256481792887930880,REUEL1111,Sat Aug 01 03:08:43 +0000 2020,q savethechildren qanonworldwide,"",""
quoted_tweet,295932652,TheLizCano,Sat Aug 01 03:09:57 +0000 2020,congress hawaii qanonworldwide espsteintrump,"",""
reply,1021917633183186944,nicmccormic,Sat Aug 01 03:10:25 +0000 2020,wwg1wga maga qarmy freedom digitalsoldiers godwins qanon inittogether,"",""
reply,26996490,pgh_futbol,Sat Aug 01 03:11:46 +0000 2020,qanonbull,"",""
reply,1268662901025406976,chxdntz216,Sat Aug 01 03:14:03 +0000 2020,epstein qanons,"",""
