screen_name,tweet_type,date,tweetid,rt_hashtag,hashtag,userid
Johnkim05416420,retweeted_tweet_without_comment,Sat Aug 01 03:01:57 +0000 2020,1.289395919088e+18,draintheswamp qanon,draintheswamp qanon,1055668671580794880
marcanoserrano,retweeted_tweet_without_comment,Sat Aug 01 03:03:03 +0000 2020,1289396195908091904,ww1wga qanons,ww1wga qanons,137715875
REUEL1111,reply,Sat Aug 01 03:03:04 +0000 2020,1289396198734888960,"",qanons,1256481792887930880
NoreenElliott19,reply,Sat Aug 01 03:03:13 +0000 2020,1289396236835938304,"",qanonlosers,1282187446101237760
REUEL1111,reply,Sat Aug 01 03:03:34 +0000 2020,1289396324429783040,"",qanons,1256481792887930880
REUEL1111,reply,Sat Aug 01 03:04:41 +0000 2020,1289396606194733056,"",qanons,1256481792887930880
DaveQuest17,reply,Sat Aug 01 03:05:27 +0000 2020,1289396801141760000,"",qanon wwg1wga,1258574840463794176
Omerta_15,original,Sat Aug 01 03:06:13 +0000 2020,1289396994197393408,"",q qanon wwg1wga pan peterpan,932399982296031232
pgh_futbol,reply,Sat Aug 01 03:06:53 +0000 2020,1289397158274150400,"",qanonbull,26996490
CovfefeSenor,quoted_tweet,Sat Aug 01 03:08:29 +0000 2020,1289397560965099520,"",trumpvirus trump trumpisanationaldisgrace maga qanon wwg1gwa,1255598524651180032
REUEL1111,original,Sat Aug 01 03:08:43 +0000 2020,1289397622835306496,"",q savethechildren qanonworldwide,1256481792887930880
TheLizCano,quoted_tweet,Sat Aug 01 03:09:57 +0000 2020,1289397930684633088,"",congress hawaii qanonworldwide espsteintrump,295932652
nicmccormic,reply,Sat Aug 01 03:10:25 +0000 2020,1289398049593102336,"",wwg1wga maga qarmy freedom digitalsoldiers godwins qanon inittogether,1021917633183186944
pgh_futbol,reply,Sat Aug 01 03:11:46 +0000 2020,1289398388711206912,"",qanonbull,26996490
chxdntz216,reply,Sat Aug 01 03:14:03 +0000 2020,1289398963016290304,"",epstein qanons,1268662901025406976
MoNSTeRPaRADiGM,retweeted_tweet_without_comment,Sat Aug 01 03:14:13 +0000 2020,1289399005353394176,epstein qanons,epstein qanons,1660720560
2Qanons,original,Sat Aug 01 03:15:41 +0000 2020,1289399373533609984,"",qanon maga thegreatawakening,1284951362191724544
hearthwench,quoted_tweet,Sat Aug 01 03:17:41 +0000 2020,1289399879928705024,"",wwg1wgaworldwide wwg1wga qanons,816364246384537600
army_e31JP,retweeted_tweet_without_comment,Sat Aug 01 03:17:49 +0000 2020,1289399910098378752,taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan 宣誓動画,taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan,1151006802781167616
Wwg1wgaTrump,retweeted_tweet_without_comment,Sat Aug 01 03:17:56 +0000 2020,1289399941081608192,wwg1wga thegreatawakening maga qanon,wwg1wga thegreatawakening maga qanon,3030415588
2Qanons,reply,Sat Aug 01 03:18:15 +0000 2020,1289400020568092672,"",qanon maga thegreatawakening,1284951362191724544
2Qanons,reply,Sat Aug 01 03:18:43 +0000 2020,1289400136909516800,"",qanon maga thegreatawakening,1284951362191724544
2Qanons,reply,Sat Aug 01 03:19:33 +0000 2020,1289400347883118592,"",qanon maga thegreatawakening,1284951362191724544
2Qanons,reply,Sat Aug 01 03:20:03 +0000 2020,1289400473921912832,"",qanon maga thegreatawakening,1284951362191724544
army_e31JP,retweeted_tweet_without_comment,Sat Aug 01 03:20:21 +0000 2020,1289400547410239488,taketheoath q qanon qarmyjapanflynn wwg1wga japan q4510,taketheoath q qanon qarmyjapanflynn wwg1wga,1151006802781167616
2Qanons,reply,Sat Aug 01 03:20:30 +0000 2020,1289400587541307392,"",qanon maga thegreatawakening,1284951362191724544
celtron777,reply,Sat Aug 01 03:21:38 +0000 2020,1289400872623988736,"",qanons,73858715
mamo88065949,retweeted_tweet_without_comment,Sat Aug 01 03:22:30 +0000 2020,1289401092103528448,taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan 宣誓動画,taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan,614442879
MoNSTeRPaRADiGM,retweeted_tweet_without_comment,Sat Aug 01 03:24:30 +0000 2020,1289401592052158464,qanons alandershowitz,qanons alandershowitz,1660720560
tj6feather,retweeted_tweet_without_comment,Sat Aug 01 03:25:02 +0000 2020,1289401726609448960,trump2020 qanon wwg1wga,trump2020 qanon wwg1wga,943183246916911104
DrGCOAnon,quoted_tweet,Sat Aug 01 03:26:09 +0000 2020,1289402010849157120,"",wwg1wg tg1tga qanon thegreatawakening keyboardwarriors coanon qarmyworldwide maga mwga,1164894169950806016
ansue67,reply,Sat Aug 01 03:26:47 +0000 2020,1289402169901248512,"",qanons,2650965868
greasolini,quoted_tweet,Sat Aug 01 03:28:14 +0000 2020,1289402534650552320,"",osha fauci qanons wearethenewsnow thegreatawakening,1275592328456146944
BentleyK,quoted_tweet,Sat Aug 01 03:28:44 +0000 2020,1289402659053568000,"",osha fauci qanons wearethenewsnow thegreatawakening,19098222
chattycathy317,retweeted_tweet_without_comment,Sat Aug 01 03:28:48 +0000 2020,1289402677588299776,q qanon wwg1wga pan peterpan,q qanon wwg1wga pan peterpan,2253787674
